Cell_ID,Cell_class_id,Cell_class_name
143,3,Glutamatergic Neuron
144,3,Glutamatergic Neuron
145,2,GABA-ergic Neuron
146,2,GABA-ergic Neuron
147,3,Glutamatergic Neuron
148,2,GABA-ergic Neuron
149,3,Glutamatergic Neuron
150,3,Glutamatergic Neuron
151,2,GABA-ergic Neuron
152,3,Glutamatergic Neuron
153,3,Glutamatergic Neuron
154,3,Glutamatergic Neuron
155,3,Glutamatergic Neuron
156,3,Glutamatergic Neuron
157,2,GABA-ergic Neuron
158,3,Glutamatergic Neuron
159,2,GABA-ergic Neuron
160,3,Glutamatergic Neuron
161,2,GABA-ergic Neuron
162,2,GABA-ergic Neuron
163,3,Glutamatergic Neuron
164,2,GABA-ergic Neuron
165,3,Glutamatergic Neuron
166,2,GABA-ergic Neuron
167,2,GABA-ergic Neuron
168,0,Astrocyte
169,3,Glutamatergic Neuron
170,3,Glutamatergic Neuron
171,3,Glutamatergic Neuron
172,2,GABA-ergic Neuron
173,2,GABA-ergic Neuron
174,2,GABA-ergic Neuron
175,2,GABA-ergic Neuron
176,2,GABA-ergic Neuron
177,2,GABA-ergic Neuron
178,2,GABA-ergic Neuron
179,3,Glutamatergic Neuron
180,2,GABA-ergic Neuron
181,2,GABA-ergic Neuron
182,2,GABA-ergic Neuron
183,3,Glutamatergic Neuron
184,2,GABA-ergic Neuron
185,3,Glutamatergic Neuron
186,3,Glutamatergic Neuron
187,2,GABA-ergic Neuron
188,2,GABA-ergic Neuron
189,2,GABA-ergic Neuron
190,3,Glutamatergic Neuron
191,3,Glutamatergic Neuron
192,3,Glutamatergic Neuron
193,2,GABA-ergic Neuron
194,2,GABA-ergic Neuron
195,2,GABA-ergic Neuron
196,2,GABA-ergic Neuron
197,0,Astrocyte
198,3,Glutamatergic Neuron
199,3,Glutamatergic Neuron
200,3,Glutamatergic Neuron
201,1,Endothelial Cell
202,3,Glutamatergic Neuron
203,2,GABA-ergic Neuron
204,2,GABA-ergic Neuron
205,2,GABA-ergic Neuron
206,2,GABA-ergic Neuron
207,0,Astrocyte
208,3,Glutamatergic Neuron
209,3,Glutamatergic Neuron
210,3,Glutamatergic Neuron
211,2,GABA-ergic Neuron
212,3,Glutamatergic Neuron
213,3,Glutamatergic Neuron
214,2,GABA-ergic Neuron
215,2,GABA-ergic Neuron
216,2,GABA-ergic Neuron
217,3,Glutamatergic Neuron
218,2,GABA-ergic Neuron
219,3,Glutamatergic Neuron
220,2,GABA-ergic Neuron
221,2,GABA-ergic Neuron
222,2,GABA-ergic Neuron
223,3,Glutamatergic Neuron
224,3,Glutamatergic Neuron
225,3,Glutamatergic Neuron
226,3,Glutamatergic Neuron
227,2,GABA-ergic Neuron
228,3,Glutamatergic Neuron
229,3,Glutamatergic Neuron
230,3,Glutamatergic Neuron
231,3,Glutamatergic Neuron
232,2,GABA-ergic Neuron
233,2,GABA-ergic Neuron
234,0,Astrocyte
235,3,Glutamatergic Neuron
236,3,Glutamatergic Neuron
237,2,GABA-ergic Neuron
238,0,Astrocyte
239,2,GABA-ergic Neuron
240,3,Glutamatergic Neuron
241,3,Glutamatergic Neuron
242,3,Glutamatergic Neuron
243,3,Glutamatergic Neuron
244,4,Microglia
245,3,Glutamatergic Neuron
246,3,Glutamatergic Neuron
247,3,Glutamatergic Neuron
248,3,Glutamatergic Neuron
249,3,Glutamatergic Neuron
250,2,GABA-ergic Neuron
251,0,Astrocyte
252,3,Glutamatergic Neuron
253,3,Glutamatergic Neuron
254,3,Glutamatergic Neuron
255,2,GABA-ergic Neuron
256,2,GABA-ergic Neuron
257,2,GABA-ergic Neuron
258,3,Glutamatergic Neuron
259,3,Glutamatergic Neuron
260,3,Glutamatergic Neuron
261,3,Glutamatergic Neuron
262,2,GABA-ergic Neuron
263,3,Glutamatergic Neuron
264,3,Glutamatergic Neuron
265,3,Glutamatergic Neuron
266,0,Astrocyte
267,3,Glutamatergic Neuron
268,3,Glutamatergic Neuron
269,3,Glutamatergic Neuron
270,3,Glutamatergic Neuron
271,3,Glutamatergic Neuron
272,3,Glutamatergic Neuron
273,3,Glutamatergic Neuron
274,3,Glutamatergic Neuron
275,3,Glutamatergic Neuron
276,3,Glutamatergic Neuron
277,3,Glutamatergic Neuron
278,3,Glutamatergic Neuron
279,1,Endothelial Cell
280,3,Glutamatergic Neuron
281,3,Glutamatergic Neuron
282,2,GABA-ergic Neuron
283,3,Glutamatergic Neuron
284,3,Glutamatergic Neuron
285,2,GABA-ergic Neuron
286,1,Endothelial Cell
287,3,Glutamatergic Neuron
288,3,Glutamatergic Neuron
289,2,GABA-ergic Neuron
290,3,Glutamatergic Neuron
291,0,Astrocyte
292,3,Glutamatergic Neuron
293,3,Glutamatergic Neuron
294,3,Glutamatergic Neuron
295,7,Oligodendrocyte.3
296,0,Astrocyte
297,3,Glutamatergic Neuron
298,3,Glutamatergic Neuron
299,3,Glutamatergic Neuron
300,3,Glutamatergic Neuron
301,2,GABA-ergic Neuron
302,3,Glutamatergic Neuron
303,3,Glutamatergic Neuron
304,3,Glutamatergic Neuron
305,3,Glutamatergic Neuron
306,3,Glutamatergic Neuron
307,3,Glutamatergic Neuron
308,3,Glutamatergic Neuron
309,2,GABA-ergic Neuron
310,3,Glutamatergic Neuron
311,3,Glutamatergic Neuron
312,3,Glutamatergic Neuron
313,3,Glutamatergic Neuron
314,3,Glutamatergic Neuron
315,3,Glutamatergic Neuron
316,3,Glutamatergic Neuron
317,2,GABA-ergic Neuron
318,2,GABA-ergic Neuron
319,2,GABA-ergic Neuron
320,3,Glutamatergic Neuron
321,3,Glutamatergic Neuron
322,3,Glutamatergic Neuron
323,3,Glutamatergic Neuron
324,2,GABA-ergic Neuron
325,2,GABA-ergic Neuron
326,2,GABA-ergic Neuron
327,2,GABA-ergic Neuron
328,3,Glutamatergic Neuron
329,3,Glutamatergic Neuron
330,3,Glutamatergic Neuron
331,3,Glutamatergic Neuron
332,3,Glutamatergic Neuron
333,2,GABA-ergic Neuron
334,0,Astrocyte
335,2,GABA-ergic Neuron
336,0,Astrocyte
337,2,GABA-ergic Neuron
338,2,GABA-ergic Neuron
339,2,GABA-ergic Neuron
340,3,Glutamatergic Neuron
341,3,Glutamatergic Neuron
342,3,Glutamatergic Neuron
343,3,Glutamatergic Neuron
344,3,Glutamatergic Neuron
345,3,Glutamatergic Neuron
346,3,Glutamatergic Neuron
347,3,Glutamatergic Neuron
348,3,Glutamatergic Neuron
349,3,Glutamatergic Neuron
350,2,GABA-ergic Neuron
351,3,Glutamatergic Neuron
352,3,Glutamatergic Neuron
353,3,Glutamatergic Neuron
354,2,GABA-ergic Neuron
355,2,GABA-ergic Neuron
356,2,GABA-ergic Neuron
357,3,Glutamatergic Neuron
358,3,Glutamatergic Neuron
359,3,Glutamatergic Neuron
360,3,Glutamatergic Neuron
361,2,GABA-ergic Neuron
362,2,GABA-ergic Neuron
363,3,Glutamatergic Neuron
364,3,Glutamatergic Neuron
365,0,Astrocyte
366,2,GABA-ergic Neuron
367,3,Glutamatergic Neuron
368,3,Glutamatergic Neuron
369,3,Glutamatergic Neuron
370,3,Glutamatergic Neuron
371,3,Glutamatergic Neuron
372,7,Oligodendrocyte.3
373,2,GABA-ergic Neuron
374,3,Glutamatergic Neuron
375,3,Glutamatergic Neuron
376,2,GABA-ergic Neuron
377,3,Glutamatergic Neuron
378,3,Glutamatergic Neuron
379,3,Glutamatergic Neuron
380,3,Glutamatergic Neuron
381,3,Glutamatergic Neuron
382,0,Astrocyte
383,3,Glutamatergic Neuron
384,3,Glutamatergic Neuron
385,3,Glutamatergic Neuron
386,3,Glutamatergic Neuron
387,3,Glutamatergic Neuron
388,2,GABA-ergic Neuron
389,2,GABA-ergic Neuron
390,3,Glutamatergic Neuron
391,3,Glutamatergic Neuron
392,3,Glutamatergic Neuron
393,3,Glutamatergic Neuron
394,2,GABA-ergic Neuron
395,2,GABA-ergic Neuron
396,2,GABA-ergic Neuron
397,2,GABA-ergic Neuron
398,3,Glutamatergic Neuron
399,3,Glutamatergic Neuron
400,2,GABA-ergic Neuron
401,3,Glutamatergic Neuron
402,3,Glutamatergic Neuron
403,2,GABA-ergic Neuron
404,0,Astrocyte
405,3,Glutamatergic Neuron
406,2,GABA-ergic Neuron
407,0,Astrocyte
408,2,GABA-ergic Neuron
409,2,GABA-ergic Neuron
410,0,Astrocyte
411,3,Glutamatergic Neuron
412,2,GABA-ergic Neuron
413,2,GABA-ergic Neuron
414,2,GABA-ergic Neuron
415,2,GABA-ergic Neuron
416,2,GABA-ergic Neuron
417,0,Astrocyte
418,3,Glutamatergic Neuron
419,3,Glutamatergic Neuron
420,3,Glutamatergic Neuron
421,2,GABA-ergic Neuron
422,3,Glutamatergic Neuron
423,3,Glutamatergic Neuron
424,2,GABA-ergic Neuron
425,2,GABA-ergic Neuron
426,3,Glutamatergic Neuron
427,2,GABA-ergic Neuron
428,2,GABA-ergic Neuron
429,3,Glutamatergic Neuron
430,2,GABA-ergic Neuron
431,3,Glutamatergic Neuron
432,3,Glutamatergic Neuron
433,2,GABA-ergic Neuron
434,4,Microglia
435,3,Glutamatergic Neuron
436,2,GABA-ergic Neuron
437,2,GABA-ergic Neuron
438,2,GABA-ergic Neuron
439,3,Glutamatergic Neuron
440,3,Glutamatergic Neuron
441,2,GABA-ergic Neuron
442,3,Glutamatergic Neuron
443,3,Glutamatergic Neuron
444,5,Oligodendrocyte.1
445,2,GABA-ergic Neuron
446,2,GABA-ergic Neuron
447,2,GABA-ergic Neuron
448,3,Glutamatergic Neuron
449,3,Glutamatergic Neuron
450,3,Glutamatergic Neuron
451,2,GABA-ergic Neuron
452,3,Glutamatergic Neuron
453,3,Glutamatergic Neuron
454,2,GABA-ergic Neuron
455,3,Glutamatergic Neuron
456,2,GABA-ergic Neuron
457,2,GABA-ergic Neuron
458,2,GABA-ergic Neuron
459,3,Glutamatergic Neuron
460,2,GABA-ergic Neuron
461,0,Astrocyte
462,2,GABA-ergic Neuron
463,2,GABA-ergic Neuron
464,3,Glutamatergic Neuron
465,3,Glutamatergic Neuron
466,3,Glutamatergic Neuron
467,3,Glutamatergic Neuron
468,2,GABA-ergic Neuron
469,5,Oligodendrocyte.1
470,2,GABA-ergic Neuron
471,3,Glutamatergic Neuron
472,3,Glutamatergic Neuron
473,2,GABA-ergic Neuron
474,3,Glutamatergic Neuron
475,2,GABA-ergic Neuron
476,7,Oligodendrocyte.3
477,3,Glutamatergic Neuron
478,3,Glutamatergic Neuron
479,4,Microglia
480,2,GABA-ergic Neuron
481,3,Glutamatergic Neuron
482,3,Glutamatergic Neuron
483,2,GABA-ergic Neuron
484,6,Oligodendrocyte.2
485,3,Glutamatergic Neuron
486,2,GABA-ergic Neuron
487,3,Glutamatergic Neuron
488,2,GABA-ergic Neuron
489,3,Glutamatergic Neuron
490,2,GABA-ergic Neuron
491,3,Glutamatergic Neuron
492,4,Microglia
493,3,Glutamatergic Neuron
494,2,GABA-ergic Neuron
495,6,Oligodendrocyte.2
496,0,Astrocyte
497,3,Glutamatergic Neuron
498,3,Glutamatergic Neuron
499,2,GABA-ergic Neuron
500,3,Glutamatergic Neuron
501,3,Glutamatergic Neuron
502,6,Oligodendrocyte.2
503,0,Astrocyte
504,6,Oligodendrocyte.2
505,3,Glutamatergic Neuron
506,3,Glutamatergic Neuron
507,2,GABA-ergic Neuron
508,2,GABA-ergic Neuron
509,2,GABA-ergic Neuron
510,4,Microglia
511,2,GABA-ergic Neuron
512,5,Oligodendrocyte.1
513,3,Glutamatergic Neuron
514,3,Glutamatergic Neuron
515,2,GABA-ergic Neuron
516,0,Astrocyte
517,3,Glutamatergic Neuron
518,3,Glutamatergic Neuron
519,6,Oligodendrocyte.2
520,7,Oligodendrocyte.3
521,3,Glutamatergic Neuron
522,3,Glutamatergic Neuron
523,3,Glutamatergic Neuron
524,3,Glutamatergic Neuron
525,3,Glutamatergic Neuron
526,6,Oligodendrocyte.2
527,7,Oligodendrocyte.3
528,3,Glutamatergic Neuron
529,3,Glutamatergic Neuron
530,0,Astrocyte
531,2,GABA-ergic Neuron
532,2,GABA-ergic Neuron
533,3,Glutamatergic Neuron
534,3,Glutamatergic Neuron
535,3,Glutamatergic Neuron
536,3,Glutamatergic Neuron
537,3,Glutamatergic Neuron
538,2,GABA-ergic Neuron
539,3,Glutamatergic Neuron
540,3,Glutamatergic Neuron
541,3,Glutamatergic Neuron
542,3,Glutamatergic Neuron
543,3,Glutamatergic Neuron
544,3,Glutamatergic Neuron
545,3,Glutamatergic Neuron
546,3,Glutamatergic Neuron
547,0,Astrocyte
548,3,Glutamatergic Neuron
549,3,Glutamatergic Neuron
550,0,Astrocyte
551,3,Glutamatergic Neuron
552,0,Astrocyte
553,2,GABA-ergic Neuron
554,3,Glutamatergic Neuron
555,2,GABA-ergic Neuron
556,3,Glutamatergic Neuron
557,2,GABA-ergic Neuron
558,3,Glutamatergic Neuron
559,3,Glutamatergic Neuron
560,2,GABA-ergic Neuron
561,0,Astrocyte
562,2,GABA-ergic Neuron
563,2,GABA-ergic Neuron
564,2,GABA-ergic Neuron
565,3,Glutamatergic Neuron
566,7,Oligodendrocyte.3
567,3,Glutamatergic Neuron
568,0,Astrocyte
569,7,Oligodendrocyte.3
570,3,Glutamatergic Neuron
571,0,Astrocyte
572,3,Glutamatergic Neuron
573,3,Glutamatergic Neuron
574,0,Astrocyte
575,3,Glutamatergic Neuron
576,2,GABA-ergic Neuron
577,3,Glutamatergic Neuron
578,4,Microglia
579,0,Astrocyte
580,2,GABA-ergic Neuron
581,0,Astrocyte
582,0,Astrocyte
583,2,GABA-ergic Neuron
584,3,Glutamatergic Neuron
585,2,GABA-ergic Neuron
586,2,GABA-ergic Neuron
587,2,GABA-ergic Neuron
588,2,GABA-ergic Neuron
589,2,GABA-ergic Neuron
590,2,GABA-ergic Neuron
591,2,GABA-ergic Neuron
592,2,GABA-ergic Neuron
593,0,Astrocyte
594,2,GABA-ergic Neuron
595,3,Glutamatergic Neuron
596,3,Glutamatergic Neuron
597,3,Glutamatergic Neuron
598,2,GABA-ergic Neuron
599,2,GABA-ergic Neuron
600,2,GABA-ergic Neuron
601,2,GABA-ergic Neuron
602,3,Glutamatergic Neuron
603,2,GABA-ergic Neuron
604,3,Glutamatergic Neuron
605,3,Glutamatergic Neuron
606,2,GABA-ergic Neuron
607,2,GABA-ergic Neuron
608,2,GABA-ergic Neuron
609,2,GABA-ergic Neuron
610,2,GABA-ergic Neuron
611,3,Glutamatergic Neuron
612,2,GABA-ergic Neuron
613,3,Glutamatergic Neuron
614,3,Glutamatergic Neuron
615,3,Glutamatergic Neuron
616,2,GABA-ergic Neuron
617,2,GABA-ergic Neuron
618,3,Glutamatergic Neuron
619,2,GABA-ergic Neuron
620,3,Glutamatergic Neuron
621,2,GABA-ergic Neuron
622,3,Glutamatergic Neuron
623,2,GABA-ergic Neuron
624,3,Glutamatergic Neuron
625,4,Microglia
626,3,Glutamatergic Neuron
627,3,Glutamatergic Neuron
628,2,GABA-ergic Neuron
629,2,GABA-ergic Neuron
630,2,GABA-ergic Neuron
631,2,GABA-ergic Neuron
632,3,Glutamatergic Neuron
633,2,GABA-ergic Neuron
634,3,Glutamatergic Neuron
635,2,GABA-ergic Neuron
636,2,GABA-ergic Neuron
637,3,Glutamatergic Neuron
638,2,GABA-ergic Neuron
639,3,Glutamatergic Neuron
640,2,GABA-ergic Neuron
641,2,GABA-ergic Neuron
642,2,GABA-ergic Neuron
643,3,Glutamatergic Neuron
644,2,GABA-ergic Neuron
645,2,GABA-ergic Neuron
646,2,GABA-ergic Neuron
647,2,GABA-ergic Neuron
648,2,GABA-ergic Neuron
649,3,Glutamatergic Neuron
650,0,Astrocyte
651,2,GABA-ergic Neuron
652,2,GABA-ergic Neuron
653,2,GABA-ergic Neuron
654,2,GABA-ergic Neuron
655,3,Glutamatergic Neuron
656,3,Glutamatergic Neuron
657,2,GABA-ergic Neuron
658,2,GABA-ergic Neuron
659,3,Glutamatergic Neuron
660,3,Glutamatergic Neuron
661,2,GABA-ergic Neuron
662,3,Glutamatergic Neuron
663,2,GABA-ergic Neuron
664,2,GABA-ergic Neuron
665,2,GABA-ergic Neuron
666,3,Glutamatergic Neuron
667,2,GABA-ergic Neuron
668,0,Astrocyte
669,2,GABA-ergic Neuron
670,3,Glutamatergic Neuron
671,2,GABA-ergic Neuron
672,2,GABA-ergic Neuron
673,2,GABA-ergic Neuron
674,2,GABA-ergic Neuron
675,3,Glutamatergic Neuron
676,2,GABA-ergic Neuron
677,3,Glutamatergic Neuron
678,3,Glutamatergic Neuron
679,2,GABA-ergic Neuron
680,2,GABA-ergic Neuron
681,2,GABA-ergic Neuron
682,2,GABA-ergic Neuron
683,3,Glutamatergic Neuron
684,3,Glutamatergic Neuron
685,7,Oligodendrocyte.3
686,3,Glutamatergic Neuron
687,2,GABA-ergic Neuron
688,2,GABA-ergic Neuron
689,3,Glutamatergic Neuron
690,2,GABA-ergic Neuron
691,1,Endothelial Cell
692,3,Glutamatergic Neuron
693,3,Glutamatergic Neuron
694,2,GABA-ergic Neuron
695,6,Oligodendrocyte.2
696,3,Glutamatergic Neuron
697,2,GABA-ergic Neuron
698,2,GABA-ergic Neuron
699,3,Glutamatergic Neuron
700,3,Glutamatergic Neuron
701,3,Glutamatergic Neuron
702,3,Glutamatergic Neuron
703,3,Glutamatergic Neuron
704,2,GABA-ergic Neuron
705,2,GABA-ergic Neuron
706,2,GABA-ergic Neuron
707,3,Glutamatergic Neuron
708,3,Glutamatergic Neuron
709,3,Glutamatergic Neuron
710,3,Glutamatergic Neuron
711,2,GABA-ergic Neuron
712,2,GABA-ergic Neuron
713,3,Glutamatergic Neuron
714,0,Astrocyte
715,3,Glutamatergic Neuron
716,2,GABA-ergic Neuron
717,0,Astrocyte
718,1,Endothelial Cell
719,3,Glutamatergic Neuron
720,2,GABA-ergic Neuron
721,6,Oligodendrocyte.2
722,2,GABA-ergic Neuron
723,3,Glutamatergic Neuron
724,0,Astrocyte
725,0,Astrocyte
726,3,Glutamatergic Neuron
727,2,GABA-ergic Neuron
728,3,Glutamatergic Neuron
729,3,Glutamatergic Neuron
730,2,GABA-ergic Neuron
731,3,Glutamatergic Neuron
732,3,Glutamatergic Neuron
733,3,Glutamatergic Neuron
734,2,GABA-ergic Neuron
735,0,Astrocyte
736,3,Glutamatergic Neuron
737,3,Glutamatergic Neuron
738,3,Glutamatergic Neuron
739,2,GABA-ergic Neuron
740,3,Glutamatergic Neuron
741,1,Endothelial Cell
742,2,GABA-ergic Neuron
743,3,Glutamatergic Neuron
744,2,GABA-ergic Neuron
745,1,Endothelial Cell
746,2,GABA-ergic Neuron
747,3,Glutamatergic Neuron
748,2,GABA-ergic Neuron
749,0,Astrocyte
750,2,GABA-ergic Neuron
751,3,Glutamatergic Neuron
752,2,GABA-ergic Neuron
753,4,Microglia
754,2,GABA-ergic Neuron
755,2,GABA-ergic Neuron
756,3,Glutamatergic Neuron
757,2,GABA-ergic Neuron
758,3,Glutamatergic Neuron
759,2,GABA-ergic Neuron
760,3,Glutamatergic Neuron
761,2,GABA-ergic Neuron
762,3,Glutamatergic Neuron
763,2,GABA-ergic Neuron
764,2,GABA-ergic Neuron
765,2,GABA-ergic Neuron
766,3,Glutamatergic Neuron
767,0,Astrocyte
768,2,GABA-ergic Neuron
769,3,Glutamatergic Neuron
770,3,Glutamatergic Neuron
771,3,Glutamatergic Neuron
772,5,Oligodendrocyte.1
773,0,Astrocyte
774,2,GABA-ergic Neuron
775,3,Glutamatergic Neuron
776,3,Glutamatergic Neuron
777,3,Glutamatergic Neuron
778,3,Glutamatergic Neuron
779,2,GABA-ergic Neuron
780,3,Glutamatergic Neuron
781,2,GABA-ergic Neuron
782,3,Glutamatergic Neuron
783,2,GABA-ergic Neuron
784,3,Glutamatergic Neuron
785,3,Glutamatergic Neuron
786,2,GABA-ergic Neuron
787,3,Glutamatergic Neuron
788,3,Glutamatergic Neuron
789,2,GABA-ergic Neuron
790,2,GABA-ergic Neuron
791,3,Glutamatergic Neuron
792,2,GABA-ergic Neuron
793,2,GABA-ergic Neuron
794,2,GABA-ergic Neuron
795,2,GABA-ergic Neuron
796,3,Glutamatergic Neuron
797,3,Glutamatergic Neuron
798,2,GABA-ergic Neuron
799,2,GABA-ergic Neuron
800,2,GABA-ergic Neuron
801,3,Glutamatergic Neuron
802,2,GABA-ergic Neuron
803,2,GABA-ergic Neuron
804,2,GABA-ergic Neuron
805,3,Glutamatergic Neuron
806,3,Glutamatergic Neuron
807,2,GABA-ergic Neuron
808,3,Glutamatergic Neuron
809,2,GABA-ergic Neuron
810,2,GABA-ergic Neuron
811,3,Glutamatergic Neuron
812,3,Glutamatergic Neuron
813,7,Oligodendrocyte.3
814,3,Glutamatergic Neuron
815,2,GABA-ergic Neuron
816,6,Oligodendrocyte.2
817,3,Glutamatergic Neuron
818,2,GABA-ergic Neuron
819,3,Glutamatergic Neuron
820,3,Glutamatergic Neuron
821,3,Glutamatergic Neuron
822,2,GABA-ergic Neuron
823,2,GABA-ergic Neuron
824,3,Glutamatergic Neuron
825,2,GABA-ergic Neuron
826,2,GABA-ergic Neuron
827,2,GABA-ergic Neuron
828,0,Astrocyte
829,3,Glutamatergic Neuron
830,3,Glutamatergic Neuron
831,3,Glutamatergic Neuron
832,2,GABA-ergic Neuron
833,2,GABA-ergic Neuron
834,0,Astrocyte
835,2,GABA-ergic Neuron
836,2,GABA-ergic Neuron
837,3,Glutamatergic Neuron
838,3,Glutamatergic Neuron
839,2,GABA-ergic Neuron
840,1,Endothelial Cell
841,3,Glutamatergic Neuron
842,2,GABA-ergic Neuron
843,2,GABA-ergic Neuron
844,2,GABA-ergic Neuron
845,3,Glutamatergic Neuron
846,2,GABA-ergic Neuron
847,3,Glutamatergic Neuron
848,3,Glutamatergic Neuron
849,3,Glutamatergic Neuron
850,3,Glutamatergic Neuron
851,3,Glutamatergic Neuron
852,2,GABA-ergic Neuron
853,2,GABA-ergic Neuron
854,2,GABA-ergic Neuron
855,2,GABA-ergic Neuron
856,2,GABA-ergic Neuron
857,2,GABA-ergic Neuron
858,2,GABA-ergic Neuron
859,2,GABA-ergic Neuron
860,2,GABA-ergic Neuron
861,3,Glutamatergic Neuron
862,0,Astrocyte
863,2,GABA-ergic Neuron
864,2,GABA-ergic Neuron
865,2,GABA-ergic Neuron
866,2,GABA-ergic Neuron
867,2,GABA-ergic Neuron
868,2,GABA-ergic Neuron
869,3,Glutamatergic Neuron
870,3,Glutamatergic Neuron
871,2,GABA-ergic Neuron
872,2,GABA-ergic Neuron
873,2,GABA-ergic Neuron
874,3,Glutamatergic Neuron
875,2,GABA-ergic Neuron
876,4,Microglia
877,2,GABA-ergic Neuron
878,2,GABA-ergic Neuron
879,3,Glutamatergic Neuron
880,6,Oligodendrocyte.2
881,2,GABA-ergic Neuron
882,0,Astrocyte
883,2,GABA-ergic Neuron
884,2,GABA-ergic Neuron
885,2,GABA-ergic Neuron
886,2,GABA-ergic Neuron
887,2,GABA-ergic Neuron
888,3,Glutamatergic Neuron
889,6,Oligodendrocyte.2
890,3,Glutamatergic Neuron
891,3,Glutamatergic Neuron
892,3,Glutamatergic Neuron
893,3,Glutamatergic Neuron
894,3,Glutamatergic Neuron
895,3,Glutamatergic Neuron
896,5,Oligodendrocyte.1
